,p_g,em,g,gf
52,0.8,0.664385064096,0.612101011378,0.683602168788
53,0.8,0.637859743766,0.611677434481,0.665330477765
54,0.8,0.700530932816,0.6404724272,0.69358920703
55,0.8,0.628288035038,0.628471445095,0.636356949849
56,0.8,0.736735954326,0.66572989988,0.728717936367
57,0.8,0.887899578273,0.827323800784,0.886962214422
58,0.8,0.781772531147,0.78129276504,0.788989249884
59,0.8,0.869711348037,0.771223988342,0.872530702671
60,0.9,0.728808376874,0.591505204332,0.728125341409
61,0.9,0.58217622237,0.525854245888,0.578727900329
62,0.9,0.532998525267,0.490341608875,0.543219134239
63,0.9,0.760139323804,0.708028227515,0.574588934535
64,0.9,0.710822931892,0.710719698066,0.711291282054
65,0.9,0.748110631942,0.724180901103,0.744288514802
66,0.9,0.538188235631,0.534184955047,0.566205965684
67,0.9,0.648974471829,0.540859551766,0.644209867101
68,0.9,0.63074261618,0.617633286145,0.632355739644
69,0.9,0.664633177866,0.647665288424,0.61995560015
