,g_true,mv,em,gf
9,0.3,0.5539912698412698,0.5770048282570741,0.6363035977330703
10,0.3,0.5712515873015876,0.5896804990155967,0.6322977733455151
11,0.3,0.5476238095238096,0.5760293137744839,0.615442786117251
12,0.4,0.5691047619047621,0.5943965032090176,0.6391813799722954
13,0.4,0.5890253968253971,0.6184069378145545,0.6627533210719082
14,0.4,0.5830777777777787,0.6073249190231133,0.651727380011687
15,0.5,0.5876412698412697,0.6158997818396146,0.6632914061548915
16,0.5,0.6256650793650795,0.6764450781979617,0.7045340584424491
17,0.5,0.6015103174603179,0.6245856753648134,0.6580731648872413
18,0.6,0.6328269841269839,0.6821456616565815,0.7028876503878508
19,0.6,0.6141357142857145,0.6586567418415277,0.6911144570107055
20,0.6,0.6161055555555556,0.65879543448893,0.6891212745809306
21,0.7,0.6453230158730161,0.6998432365213022,0.7120761451732973
22,0.7,0.6430190476190479,0.7036722126056058,0.7132163375534633
23,0.7,0.6424777777777775,0.7055966702011365,0.7222567534155575
24,0.8,0.6679269841269838,0.7499163957752167,0.7634081389099006
25,0.8,0.6369777777777784,0.6944159354853441,0.7087896192370815
26,0.8,0.6532849206349204,0.723863576498334,0.7364821092933871
27,0.9,0.6649992063492063,0.7401322311636072,0.7237073234628009
28,0.9,0.6764499999999997,0.7586915113072199,0.7339449121027484
29,0.9,0.6706039682539684,0.7510168741477752,0.7398864014496687
30,1.0,0.6965031746031742,0.7964017581487692,0.7813450687020339
31,1.0,0.6911920634920639,0.784707146888324,0.7423022311647932
32,1.0,0.6936984126984121,0.7952785290215209,0.7600528330617393
0,0.0,0.5113928571428571,0.5191969740391313,0.5584680707827399
1,0.0,0.5143436507936513,0.5204455021169351,0.5888076885444196
2,0.0,0.48973095238095277,0.4745613213741384,0.5141909155307193
3,0.1,0.5003539682539684,0.4926011441684076,0.5454013158506802
4,0.1,0.4967174603174602,0.4998149161433581,0.5715479681760812
5,0.1,0.5219126984126982,0.5354530496918557,0.575786960314037
6,0.2,0.5394357142857145,0.5514876007408713,0.607400678295556
7,0.2,0.5541753968253973,0.5645416819442908,0.6042803853056282
8,0.2,0.5418119047619044,0.5567601662835429,0.602054375390892
9,0.3,0.5573253968253972,0.5716915964672776,0.6293159496422376
10,0.3,0.5507880952380951,0.5619994851814581,0.6158380198350603
11,0.3,0.5438571428571427,0.5605933838819134,0.6003954091821719
12,0.4,0.5842126984126982,0.6127196729320517,0.6649569655246441
13,0.4,0.6089349206349209,0.6500173487952189,0.6936659866813633
14,0.4,0.5720063492063492,0.598212322610848,0.6554853966584134
15,0.5,0.5976499999999999,0.6356898510032167,0.675675547268094
16,0.5,0.5956404761904763,0.6249490653369567,0.6582083264469136
17,0.5,0.5910087301587301,0.6201861611773211,0.6560983233540993
18,0.6,0.6177619047619042,0.6594240078850857,0.6805419507754413
19,0.6,0.6137722222222229,0.6501250094676589,0.6881948009447767
20,0.6,0.6069031746031751,0.6395491299985968,0.6725358344843235
21,0.7,0.6361269841269837,0.6896662842379073,0.7050621236424472
22,0.7,0.6517730158730158,0.7169661351213418,0.7346445336219282
23,0.7,0.6383968253968252,0.6982054129284698,0.710991339736059
24,0.8,0.6754380952380956,0.7583831495545922,0.7415464008920291
25,0.8,0.6673444444444446,0.7400792221756815,0.7316306546608591
26,0.8,0.643761904761905,0.7123495914517995,0.7218384979060649
27,0.9,0.675319047619048,0.7586300003534563,0.7267868435863678
28,0.9,0.680559523809524,0.7659333733008651,0.7529367387072627
29,0.9,0.6805365079365081,0.7689125848092468,0.7364526085718072
30,1.0,0.704461904761905,0.8124708961274776,0.76731840746067
31,1.0,0.7085460317460323,0.8249232025930956,0.7707962851490272
32,1.0,0.6957253968253971,0.8096911040891627,0.7601417958815283
0,0.0,0.4831880952380948,0.4744061112353567,0.5675476281039313
1,0.0,0.5143412698412702,0.5285406793117324,0.6002474575516823
2,0.0,0.47651349206349236,0.46924391363110074,0.5062946052891897
3,0.1,0.5120468253968258,0.5163595995616235,0.5775609122838867
4,0.1,0.5233039682539683,0.5292680567512282,0.590898085813731
5,0.1,0.5280079365079366,0.5331966816942444,0.5992027123558195
6,0.2,0.5358999999999994,0.5637868743229092,0.6172502646607605
7,0.2,0.5218968253968254,0.5164991041970208,0.5844847379043021
8,0.2,0.5532666666666668,0.5721946514716831,0.6293315123578516
9,0.3,0.5551158730158732,0.5810939437463588,0.6178672266896547
10,0.3,0.5605896825396824,0.5781565790021924,0.6290631054327279
11,0.3,0.5602261904761898,0.577250098397416,0.6423143143936711
12,0.4,0.5973341269841274,0.6346653270831721,0.6894377029395825
13,0.4,0.5821674603174604,0.6079594152528562,0.6590148009383973
14,0.4,0.5763619047619051,0.5980382689843493,0.6558678125354337
15,0.5,0.5998444444444441,0.632841902009295,0.6809909914944569
16,0.5,0.5992253968253977,0.6299666581629256,0.6673469689495695
