acc,cov,mv,em,g
0.8,0.8,0.8000416666666668,0.9871321002708141,0.9871285853302516
0.8,0.8,0.8041777777777778,0.9936196228134354,0.9935874758940212
0.8,0.8,0.798039682539684,0.989858861035952,0.9898872085715752
0.8,0.8,0.800900396825398,0.9904355857504246,0.990590911254673
0.8,0.9,0.790239682539685,0.9946925475686121,0.9948034909475725
0.8,0.9,0.8059023809523841,0.9964980735341938,0.9964103780218827
0.8,0.9,0.8012067460317467,0.9966001192934193,0.9966272950013882
0.8,0.9,0.8011238095238111,0.9962073664194327,0.9961106725673501
0.8,0.9,0.7994757936507944,0.992554156886992,0.9924240332155082
0.8,1.0,0.7988999999999953,0.9983710693874767,0.998297046789423
0.8,1.0,0.7990999999999958,0.9982780498423476,0.998284771868406
0.8,1.0,0.7948999999999952,0.9976667699518526,0.997721283763117
0.8,1.0,0.7992999999999961,0.9993563347166415,0.9993084526765127
0.8,1.0,0.8012999999999967,0.9975681217085043,0.9975979652327931
0.85,0.7,0.8481753968253971,0.9899033106207489,0.9897767329565599
0.85,0.7,0.8544757936507942,0.9927084588446866,0.9927156390327729
0.85,0.7,0.8484158730158734,0.9932345500464136,0.9931206689240213
0.85,0.7,0.848426190476191,0.9927054183747991,0.9926725502150978
0.85,0.7,0.851574603174604,0.9936411194153405,0.9931341288607068
0.85,0.8,0.8521833333333354,0.9978383234427457,0.9977191140556103
0.85,0.8,0.8479964285714304,0.9971910899325745,0.9971297257679653
0.85,0.8,0.8522849206349227,0.9954530353333204,0.9953504555399771
0.85,0.8,0.849332539682541,0.9979247745869366,0.9980572620257525
0.85,0.8,0.8418234126984149,0.9969578784151407,0.9968964459251596
0.85,0.9,0.8480952380952409,0.9996971306927599,0.9996913137492894
0.85,0.9,0.8500849206349218,0.9986819169323383,0.9985767907787974
0.85,0.9,0.8475281746031765,0.9979122006803005,0.9979123355870881
0.85,0.9,0.8567126984126991,0.9987593692609884,0.9987456094361806
0.85,0.9,0.8477170634920642,0.9991252116748718,0.9990973557570598
0.85,1.0,0.8567999999999929,0.999368525538215,0.9993896525765827
0.85,1.0,0.8466999999999932,0.9993128606463393,0.9993859183328101
0.85,1.0,0.8508999999999933,0.9999158596930847,0.9998959102502435
0.85,1.0,0.8527999999999929,0.9999353516344489,0.999921314821047
0.85,1.0,0.8553999999999935,0.9999114229327803,0.9999196318661774
0.9,0.7,0.900096031746033,0.9968522034779956,0.9967806009849903
0.9,0.7,0.8918928571428585,0.9968662385713261,0.996711776405931
0.9,0.7,0.9018972222222232,0.9984864445288052,0.9984626708563464
0.9,0.7,0.8983555555555574,0.9962846008207891,0.9962864251463847
0.9,0.7,0.892524206349207,0.9979022286515578,0.9979406340047422
0.9,0.8,0.8947507936507956,0.9973117446450275,0.9972016750522322
0.9,0.8,0.9013178571428595,0.99911063339514,0.9991171912890993
0.9,0.8,0.8994448412698439,0.9997296996376007,0.9996911975693005
0.9,0.8,0.9039075396825408,0.9996406158612446,0.9996356147397852
0.9,0.8,0.8938908730158747,0.9995134385141144,0.9994737843185849
0.9,0.9,0.9000373015873026,0.9999630612108602,0.9999646117865856
0.9,0.9,0.9000277777777794,0.9999825238415171,0.9999805875665145
0.9,0.9,0.9051670634920651,0.9999853606511696,0.9999806946088173
0.9,0.9,0.8994698412698425,0.9998015696644811,0.9997924313187102
0.9,0.9,0.9025142857142859,0.9999753864546109,0.9999686651111923
