,pi,mv,em,g,gf
31,0.7,0.63,0.8599913470094177,0.8592027455033794,0.8731598856710319
32,0.7,0.6010000000000002,0.803871147932206,0.7977622783511186,0.8413729013073045
33,0.7,0.6140000000000001,0.8413967533044816,0.8435159213046308,0.7967710731823737
34,0.7,0.6080000000000002,0.8281778435237969,0.825982815008253,0.8247429843583839
0,1.0,0.8160000000000001,0.9994288703807038,0.9991595278451832,0.9887191597153917
1,1.0,0.8129999999999998,0.9990057875798409,0.9986198080857885,0.9994305289542883
2,1.0,0.8059999999999998,0.9996003054822217,0.999339511600763,0.9982688094993907
3,1.0,0.799,0.9997780984831336,0.9997328252179002,0.999112717781443
4,1.0,0.8049999999999998,0.9999312384363276,0.9999413490918213,0.9998322362639146
5,0.95,0.76,0.9886995037269335,0.9863524606582779,0.9870580743579865
6,0.95,0.7609999999999997,0.9819626216769375,0.9838103629330331,0.9840131348420756
7,0.95,0.77,0.9985572505470013,0.9981397144062919,0.9992863819497632
8,0.95,0.767,0.9949450382196319,0.992990579226189,0.9969644804642556
9,0.95,0.786,0.9921292693158977,0.9904654284002593,0.9955462245044299
10,0.9,0.758,0.9845446162511677,0.9869231732831499,0.9948624814313511
11,0.9,0.7200000000000003,0.9806618550928531,0.978551157884637,0.9848957367505085
12,0.9,0.721,0.9782889843404006,0.9795737075503878,0.9971814504299403
13,0.9,0.723,0.9793019379931123,0.9773710993720842,0.9889746914035084
14,0.9,0.7750000000000001,0.9944333645278747,0.9939366698620263,0.9954746912573794
15,0.85,0.6980000000000001,0.9563466573075426,0.95407766223713,0.9794413316769632
16,0.85,0.708,0.964690736479365,0.9658067427599636,0.9846885097088655
17,0.85,0.6859999999999999,0.9751645109716501,0.9734339625674929,0.970534033556549
18,0.85,0.693,0.9661726834377956,0.9638994315209121,0.9693186350308042
19,0.85,0.7240000000000001,0.9591248009119957,0.956767169944358,0.9726486346741329
20,0.8,0.6600000000000001,0.9101967370386219,0.9012493434760098,0.9215049553129117
21,0.8,0.672,0.9275016962931741,0.9222374098816335,0.9506398339363376
22,0.8,0.657,0.909553652091287,0.8974091466699017,0.926515372924773
23,0.8,0.7040000000000001,0.9739931753871075,0.9713702373276097,0.9865410728472108
24,0.8,0.677,0.9497730027936856,0.9461782580760886,0.983661380121203
25,0.75,0.6570000000000001,0.8923721615151026,0.8911205298396997,0.9306053828250525
26,0.75,0.65,0.8992903093717506,0.9048836139740605,0.9296756321823058
27,0.75,0.667,0.9188200478833427,0.9126587286325886,0.9156603467358795
28,0.75,0.6329999999999998,0.8693593070270385,0.872539687775027,0.8804496776220646
29,0.75,0.6480000000000001,0.8939037314233353,0.8987121941369005,0.8848670268607141
30,0.7,0.6480000000000001,0.8894870128166965,0.8832341193423076,0.9150815499767155
31,0.7,0.5870000000000002,0.8150392172493278,0.8135780893866628,0.8136622805697912
32,0.7,0.612,0.793682531553654,0.7790850902337111,0.8298025993266268
33,0.7,0.6050000000000003,0.8212615076031787,0.808953583590879,0.8902661470690626
34,0.7,0.6270000000000001,0.8708782822969039,0.8630370369322325,0.9125068106108639
