acc,cov,em_ac_err,g_ac_err
0.9,0.8,0.07680650598755157,0.10140079001026736
0.9,0.9,0.05410204787104267,0.1688392666403642
0.9,1.0,0.05199937825490153,0.09591163129097269
0.95,0.7,0.062055426581513196,0.10775791406621293
0.95,0.8,0.040461351680639135,0.07901534702230462
0.95,0.9,0.08684001985889622,0.10194853099746348
0.95,1.0,0.03700000032690387,0.03489368415174576
1.0,0.7,0.0,0.010671706889030741
1.0,0.8,0.0,0.013997389826034046
1.0,0.9,0.0,0.01058859844814275
1.0,1.0,0.0,0.011236324840347534
0.7,0.7,0.26338730961604906,0.3073314051106367
0.7,0.7,0.15993911669098737,0.15767586011654855
0.7,0.7,0.13325102476681394,0.22905075403404462
0.7,0.7,0.12311609004280222,0.3239638703569513
0.7,0.7,0.14418278252649563,0.1276943647997809
0.7,0.8,0.21879532278409808,0.25749076824002703
0.7,0.8,0.15835949370266078,0.14352444235731165
0.7,0.8,0.10939763340345166,0.19675778756906515
0.7,0.8,0.10916678939041546,0.1633465865748086
0.7,0.8,0.18372280081099213,0.2845305105234953
0.7,0.9,0.07807184316960625,0.11454737585707575
0.7,0.9,0.11761087700079964,0.20537277528067166
0.7,0.9,0.11861809589475703,0.24097048060931592
0.7,0.9,0.1639776746074264,0.24706679920055152
0.7,0.9,0.08310414233733032,0.1901060680059916
0.7,1.0,0.10618516616450757,0.1646504101648476
0.7,1.0,0.12411575920507978,0.1291498579277469
0.7,1.0,0.12450871336883951,0.20326885732410538
0.7,1.0,0.08140010845065526,0.15734913587767563
0.7,1.0,0.1626057997547603,0.21061762600981637
0.75,0.7,0.1727053238081807,0.20271190469478118
0.75,0.7,0.1546472619829684,0.2667446613641048
0.75,0.7,0.07987356427506942,0.2985423004261578
0.75,0.7,0.1368113193672733,0.14257205460194788
0.75,0.7,0.20999093524439938,0.23092633793234263
0.75,0.8,0.06377914846681898,0.0694051317951837
0.75,0.8,0.10702799993630652,0.1485616189219614
0.75,0.8,0.13332385299244998,0.1747399796949426
0.75,0.8,0.04819447787054698,0.12389998487783238
0.75,0.8,0.12747705981884672,0.19809929237312274
0.75,0.9,0.13738584285063227,0.1695668205306814
0.75,0.9,0.10916494934385945,0.1999153976810908
0.75,0.9,0.09798235568514801,0.1541371956110471
0.75,0.9,0.13619256857779927,0.15475299096417883
0.75,0.9,0.1073744937450336,0.11638956164771952
0.75,1.0,0.10328087754227744,0.07101224787266613
0.75,1.0,0.09511772216553627,0.14561380410470715
0.75,1.0,0.10760262429859146,0.10365693671080611
0.75,1.0,0.09529086397079078,0.16094807061289496
0.75,1.0,0.10791052458361716,0.08422733780815317
0.8,0.7,0.22056120381611732,0.20808662829137048
0.8,0.7,0.19149091268420615,0.24100917553847434
0.8,0.7,0.19264682264234867,0.15689937669670428
0.8,0.7,0.14913362426880805,0.2619149375563373
0.8,0.7,0.11767972688182204,0.1388824702453434
0.8,0.8,0.10762362262582437,0.15443591943089818
0.8,0.8,0.057709927332117994,0.16357578972249098
0.8,0.8,0.14380853480516764,0.19021080353796227
0.8,0.8,0.10290899139829046,0.11778438754898257
0.8,0.8,0.11734529134078542,0.17901327836597836
0.8,0.9,0.17598152827573,0.20412052427618144
0.8,0.9,0.11186335329617858,0.14612043648963546
0.8,0.9,0.11357718206330991,0.19162590322659523
0.8,0.9,0.09692040633441501,0.1390369407758647
0.8,0.9,0.11488970681923372,0.17608804389062216
0.8,1.0,0.08833742432097036,0.11772866015559791
0.8,1.0,0.12446972421140234,0.1462039455483558
0.8,1.0,0.11651433260005017,0.2048159479255458
0.8,1.0,0.09045101312590875,0.10295032807315185
0.8,1.0,0.1286822085158208,0.15323029611855
0.85,0.7,0.09105422256239826,0.13476281725436845
0.85,0.7,0.05280478711087977,0.06593321306338507
0.85,0.7,0.08071056419484401,0.13578849725775377
0.85,0.7,0.0885780759449829,0.11261583791410967
0.85,0.7,0.11719662585748847,0.17740572830928514
0.85,0.8,0.12087800884705724,0.17548303426254253
0.85,0.8,0.07133599664326729,0.12667878269923583
0.85,0.8,0.05415355631621466,0.13593204437012063
0.85,0.8,0.0919200032351597,0.13213075707966604
0.85,0.8,0.12977171076109362,0.1272126054882372
0.85,0.9,0.0824872969182574,0.144445909372923
0.85,0.9,0.07261081120801005,0.12345430357398535
0.85,0.9,0.09685829235251109,0.09499462376184009
0.85,0.9,0.07352167107355101,0.10721959615783416
0.85,0.9,0.0642092642119767,0.135527370856097
0.85,1.0,0.10272361736168412,0.16640864208395623
0.85,1.0,0.08707581397447484,0.17861181769383994
0.85,1.0,0.04521558530957326,0.14331626468404313
0.85,1.0,0.12018563442057661,0.1494648383646654
0.85,1.0,0.08797564732831609,0.10432020777402817
0.9,0.7,0.11693000553872013,0.11180419113588125
0.9,0.7,0.10985618442744993,0.17391981472407514
